Nome,Saldo
Denny Swift,451.0
Denny Thompson DO,638.0
Denny Turcotte,106.0
Denny Walsh,37.0
Denny West,454.0
Denny Windler,270.0
Denny Wolff,-58.0
Denny Zemlak,334.0
Denny Ziemann,726.0
Denver Abbott,-16.0
Denver Bailey,213.0
Denver Barton,613.0
Denver Bashirian,264.0
Denver Brekke,687.0
Denver Brown,-163.0
Denver Connelly,302.0
Denver Considine DDS,711.0
Denver Cronin,765.0
Denver Cruickshank,748.0
Denver Daniel MD,716.0
Denver Davis,590.0
Denver Fay PhD,240.0
Denver Gerlach,-106.0
Denver Gorczany PhD,432.0
Denver Hagenes,-71.0
Denver Hickle,658.0
Denver Hickle,265.0
Denver Hintz IV,-102.0
Denver Hirthe,208.0
Denver Howell,351.0
Denver Kilback III,284.0
Denver Kub,326.0
Denver McDermott,-12.0
Denver Miller,719.0
Denver Olson PhD,379.0
Denver Ratke,685.0
Denver Renner,292.0
Denver Rippin IV,32.0
Denver Roberts,867.0
Denver Rutherford II,829.0
Denver Schimmel,244.0
Denver Schneider II,700.0
Denver Schoen Esq.,426.0
Denver Schowalter,930.0
Denver Smitham Ret.,353.0
Denver Toy,814.0
Denver Treutel,275.0
Denver Vandervort,160.0
Denver Walsh,775.0
Denver Williamson,-56.0
Denver Wunsch DVM,318.0
Denyse Connelly IV,-144.0
Denyse Denesik,651.0
Denyse Dickens,173.0
Denyse DuBuque,816.0
Denyse Rice,726.0
Denyse Ritchie,369.0
Denyse Roberts,536.0
Denyse Sauer,77.0
Denyse Schulist,1.0
Deon Armstrong,213.0
Deon Bogisich II,577.0
Deon Bosco II,121.0
Deon Boyle,168.0
Deon Brakus,906.0
Deon Davis,381.0
Deon Effertz,585.0
Deon Emmerich,-17.0
Deon Fahey PhD,134.0
Deon Fay,765.0
Deon Feeney Jr.,656.0
Deon Feil,-138.0
Deon Ferry I,58.0
Deon Gibson,748.0
Deon Gislason,482.0
Deon Goldner,162.0
Deon Harber,621.0
Deon Hermiston I,682.0
Deon Hilll,277.0
Deon Hirthe PhD,678.0
Deon Howe,287.0
Deon Jakubowski,923.0
Deon Jaskolski,70.0
Deon Kilback,807.0
Deon King,235.0
Deon Kovacek LLD,837.0
Deon Kunze,512.0
Deon Kuvalis,-74.0
Deon Lemke,740.0
Deon Little,444.0
Deon Lubowitz,479.0
Deon Maggio LLD,304.0
Deon Marks,97.0
Deon Marquardt,-51.0
Deon Mayer,632.0
Deon McKenzie,788.0
Deon Morissette,730.0
Deon Mueller,838.0
Deon Nicolas,449.0
Deon Osinski,401.0
Deon Paucek,208.0
Deon Predovic,384.0
Deon Predovic DVM,504.0
Deon Runolfsson Sr.,206.0
Deon Simonis,148.0
Deon Swift DDS,692.0
Deon Torp,858.0
Deon Towne,455.0
Deon Upton,660.0
Deon Von,50.0
Deon Welch,685.0
Deon Wilkinson,668.0
Deon Windler,28.0
Deonna Barrows,557.0
Deonna Blick III,814.0
Deonna Bogan,849.0
Deonna Lesch,-86.0
Deonna Lesch,239.0
Deonna Mayer LLD,84.0
Deonna Welch,52.0
Derek Bailey,68.0
Derek Becker DO,69.0
Derek Bednar,669.0
Derek Bergstrom,21.0
Derek Bosco,342.0
Derek Boyer,382.0
Derek Brakus,619.0
Derek Carroll,574.0
Derek Cruickshank I,278.0
Derek Doyle,263.0
Derek Friesen II,340.0
Derek Hintz,571.0
Derek Jacobi,235.0
Derek Jacobs Jr.,439.0
Derek Jast,957.0
Derek Kihn,741.0
Derek Kirlin,424.0
Derek Kozey,182.0
Derek Kunde,706.0
Derek Lindgren,364.0
Derek MacGyver,839.0
Derek Marks,204.0
Derek Mertz,620.0
Derek Mills,913.0
Derek Moore,144.0
Derek Mueller,93.0
Derek Muller,231.0
Derek O'Hara,375.0
Derek O'Hara,-3.0
Derek Ondricka,870.0
Derek Pollich,412.0
Derek Prosacco,162.0
Derek Rice,23.0
Derek Schaden,27.0
Derek Schaden V,-139.0
Derek Schultz,582.0
Derek Sporer,514.0
Derek VonRueden Sr.,796.0
Derek Yost,630.0
Derick Bahringer,696.0
Derick Batz,326.0
Derick Emard III,384.0
Derick Fadel IV,262.0
Derick Flatley,550.0
Derick Gerlach V,706.0
Derick Goyette,-117.0
Derick Hickle,787.0
Derick Hintz,354.0
Derick Huel,676.0
Derick Kertzmann,406.0
Derick Kilback,181.0
Derick King,257.0
Derick Klocko PhD,788.0
Derick Kozey,399.0
Derick Kutch,119.0
Derick Lang,355.0
Derick Lesch,677.0
Derick Lesch,114.0
Derick Olson,250.0
Derick Robel,460.0
Derick Towne Ret.,661.0
Derick Vandervort,-106.0
Derick Weber,193.0
Derick Weimann,241.0
Derick Wilderman,49.0
Derick Wilkinson,820.0
Derick Yost,270.0
Derrick Abernathy,401.0
Derrick Bashirian,-59.0
Derrick Brakus,364.0
Derrick Carroll,430.0
Derrick Conn DC,-40.0
Derrick Crona,95.0
Derrick Denesik,599.0
Derrick Ebert,324.0
Derrick Gorczany DVM,847.0
Derrick Grimes,75.0
Derrick Hammes,-33.0
Derrick Moore,599.0
Derrick Murphy,-57.0
Derrick Nienow,156.0
Derrick Nikolaus,478.0
Derrick O'Keefe,526.0
Derrick Paucek,346.0
Derrick Predovic,37.0
Derrick Quigley,-103.0
Derrick Reinger,290.0
Derrick Rempel,-130.0
Derrick Ritchie,750.0
Derrick Schneider,-38.0
Derrick Schroeder,664.0
Derrick Sporer,-181.0
Derrick Stiedemann,431.0
Derrick Tillman,500.0
Derrick Torp,643.0
Derrick Waelchi,30.0
Derrick Walsh,477.0
Derrick Wintheiser,722.0
Derrick Witting,926.0
Derrick Zulauf,954.0
Deshawn Barton,731.0
Deshawn Batz,464.0
Deshawn Baumbach MD,174.0
Deshawn Bradtke,198.0
Deshawn Brekke,155.0
Deshawn Crist,221.0
Deshawn D'Amore,33.0
Deshawn Dooley,611.0
Deshawn Feest,47.0
Deshawn Frami,318.0
Deshawn Friesen,761.0
Deshawn Gibson,232.0
Deshawn Gulgowski,-68.0
Deshawn Haley,-19.0
Deshawn Hane,794.0
Deshawn Hauck MD,706.0
Deshawn Herman,432.0
Deshawn Hermiston,579.0
Deshawn Hoeger,307.0
Deshawn Homenick,404.0
Deshawn Kulas,673.0
Deshawn Kuphal,854.0
Deshawn Marquardt,-66.0
Deshawn McClure,773.0
Deshawn Morissette,720.0
Deshawn Mraz,647.0
Deshawn Paucek,473.0
Deshawn Pfeffer Jr.,192.0
Deshawn Price,283.0
Deshawn Robel Ret.,897.0
Deshawn Swift,598.0
Deshawn Thiel Ret.,250.0
Deshawn Waters,221.0
Desirae McCullough,716.0
Desirae Senger,908.0
Desirae Shanahan,754.0
Desirae Tillman Sr.,632.0
Desire Abbott,678.0
Desire Boyle,213.0
Desire Brekke DDS,822.0
Desire Crona,724.0
Desire DuBuque Sr.,41.0
Desire Durgan,710.0
Desire Hoppe,-138.0
Desire Jacobs III,749.0
Desire Kertzmann,816.0
Desire Konopelski LLD,369.0
Desire Larson,335.0
Desire O'Reilly,765.0
Desire Rogahn,868.0
Desire Ryan PhD,543.0
Desire Schinner,141.0
Desire Sipes,465.0
Desiree Hauck,126.0
Desiree Kutch,559.0
Desiree Luettgen,401.0
Desiree Purdy I,79.0
Desiree Quitzon,43.0
Desiree Rolfson,-11.0
Desiree Romaguera,-33.0
Desiree Schaefer,294.0
Desmond Bashirian,379.0
Desmond Batz,688.0
Desmond Beier DDS,644.0
Desmond Berge DO,843.0
Desmond Bergnaum III,802.0
Desmond Block,-2.0
Desmond Boyer JD,380.0
Desmond Brakus,853.0
Desmond Breitenberg,797.0
Desmond Bruen,149.0
Desmond Casper,605.0
Desmond Dach,263.0
Desmond Gislason,318.0
Desmond Hagenes,124.0
Desmond Hansen Jr.,207.0
Desmond Hirthe,308.0
Desmond Johns,-50.0
Desmond Jones,552.0
Desmond Kautzer,798.0
Desmond Koepp,571.0
Desmond Krajcik,206.0
Desmond Lebsack MD,50.0
Desmond Legros,371.0
Desmond Lemke,769.0
Desmond Leuschke,-19.0
Desmond Marquardt,909.0
Desmond Moen,283.0
Desmond Muller DDS,470.0
Desmond O'Reilly,436.0
Desmond Prohaska,507.0
Desmond Reichert,-120.0
Desmond Runte,377.0
Desmond Shanahan,901.0
Desmond Volkman,610.0
Desmond Waelchi,636.0
Desmond Wiegand DVM,761.0
Desmond Willms LLD,616.0
Desmond Witting,973.0
Despina Dickens,-58.0
Despina Kemmer,43.0
Despina Mann DDS,11.0
Despina Mitchell,903.0
Despina Reichert,752.0
Despina Renner,261.0
Despina Runolfsson,794.0
Despina Volkman,362.0
Despina Wilderman,276.0
Dessie Considine,795.0
Dessie Harber,709.0
Dessie Kautzer,433.0
Dessie Kilback IV,643.0
Dessie Klein,704.0
Dessie Konopelski,197.0
Dessie Mayer,34.0
Dessie Rau,922.0
Dessie Rodriguez,624.0
Dessie Wisoky,134.0
Destiny Bahringer I,700.0
Destiny Beer Esq.,-115.0
Destiny Dare,758.0
Destiny Dickens,352.0
Destiny Goodwin,199.0
Destiny Kunze,694.0
Destiny West,306.0
Detra Collier,902.0
Detra Davis Sr.,327.0
Detra Johnston Ret.,805.0
Detra Little LLD,713.0
Detra Lubowitz Ret.,433.0
Detra Medhurst Sr.,-69.0
Detra Schaefer,-38.0
Detra Toy,92.0
Detra Ullrich VM,938.0
Detra Volkman PhD,116.0
Detra Waters,849.0
Detra Wilkinson,-42.0
Devin Bailey,682.0
Devin Batz,9.0
Devin Brown,372.0
Devin Carter,545.0
Devin Corwin,949.0
Devin Crona,520.0
Devin Cummings,350.0
Devin Dach,-143.0
Devin Emard V,761.0
Devin Feest,-40.0
Devin Flatley,302.0
Devin Frami,807.0
Devin Goyette,374.0
Devin Gutmann,528.0
Devin Hermiston Esq.,288.0
Devin Howell,782.0
Devin Hudson,-116.0
Devin Johnston,416.0
Devin King,758.0
Devin Klocko,107.0
Devin Labadie,528.0
Devin Lang,664.0
Devin Lockman,290.0
Devin MacGyver,285.0
Devin Marks,829.0
Devin Marks,584.0
Devin Morar,937.0
Devin Murray,411.0
Devin Nikolaus,445.0
Devin Nitzsche,478.0
Devin O'Keefe,4.0
Devin O'Reilly,543.0
Devin Olson,360.0
Devin Ondricka,754.0
Devin Price,194.0
Devin Rau,607.0
Devin Reynolds,323.0
Devin Rodriguez,908.0
Devin Runolfsdottir,-56.0
Devin Sanford,344.0
Devin Schumm DVM,536.0
Devin Shanahan,222.0
Devin Stanton,794.0
Devin Volkman II,605.0
Devin Wolf,532.0
Devin Zieme,792.0
Devon Armstrong,67.0
Devon Auer,706.0
Devon Barton,707.0
Devon Barton III,385.0
Devon Bergnaum,597.0
Devon Braun,583.0
Devon Davis,371.0
Devon Dooley DC,75.0
Devon Erdman,533.0
Devon Funk,913.0
Devon Gerlach DDS,173.0
Devon Goldner DC,116.0
Devon Grant,258.0
Devon Gutmann,94.0
Devon Heaney,799.0
Devon Heller,348.0
Devon Hermann,323.0
Devon Huels,163.0
Devon Keeling,814.0
Devon King,675.0
Devon Kunze,608.0
Devon Kutch,323.0
Devon Larkin,66.0
Devon Lindgren,590.0
Devon Mann,274.0
Devon Mante DO,720.0
Devon Marquardt,734.0
Devon Moen,511.0
Devon Monahan,-41.0
Devon Ondricka CPA,365.0
Devon Ortiz,520.0
Devon Prohaska,571.0
Devon Rogahn DC,936.0
Devon Ruecker,499.0
Devon Schmidt,841.0
Devon Schuster,101.0
Devon Simonis,-3.0
Devon Spinka,63.0
Devon Stracke PhD,310.0
Devon Stroman,260.0
Devon Swaniawski,572.0
Devon Turner MD,30.0
Devon Waelchi,-101.0
Devon Walter,848.0
Devon Ward,434.0
Devon Ward VM,148.0
Devon Wiegand,190.0
Devon Zboncak,423.0
Devona Bins,177.0
Devona Blanda DC,837.0
Devona Ebert,396.0
Devona Frami III,886.0
Devona Johnston,334.0
Devona Kiehn,97.0
Devona Langworth LLD,-116.0
Devona Oberbrunner,597.0
Devona Rutherford,245.0
Devona Schmidt DDS,94.0
Devona Smith,257.0
Devona Stanton DVM,142.0
Devora Bayer,887.0
Devora Dickinson,413.0
Devora Haley,236.0
Devora Lockman,722.0
Devora Mosciski IV,723.0
Devora O'Hara,-69.0
Devora Rath I,636.0
Devora Ritchie,759.0
Devora Rogahn DC,45.0
Devora Schumm Ret.,142.0
Devora Torp,449.0
Devora Von,202.0
Devora Wiza,263.0
Devora Wyman,415.0
Devorah Graham,-26.0
Devorah Kub,96.0
Devorah Yundt,29.0
Dewayne Bauch,-23.0
Dewayne Boyle,197.0
Dewayne Brown,355.0
Dewayne Greenfelder,728.0
Dewayne Hane,431.0
Dewayne Kertzmann,791.0
Dewayne Kertzmann DC,751.0
Dewayne Langworth,46.0
Dewayne Littel,539.0
Dewayne Medhurst VM,610.0
Dewayne Morissette,725.0
Dewayne Muller,523.0
Dewayne Murphy,354.0
Dewayne Nienow,113.0
Dewayne Schamberger,-7.0
Dewayne Schiller I,555.0
Dewayne Swift,275.0
Dewayne Watsica,466.0
Dewayne Watsica,369.0
Dewayne Weissnat,144.0
Dewayne Ziemann,955.0
Dewey Bayer,-85.0
Dewey Bednar,597.0
Dewey Blanda,310.0
Dewey Cole PhD,102.0
Dewey Gleason DO,309.0
Dewey Herman,-35.0
Dewey Herman DO,644.0
Dewey Hilpert,703.0
Dewey Hoppe,824.0
Dewey Jerde,446.0
Dewey Jones,135.0
Dewey Kilback,495.0
Dewey Klein V,622.0
Dewey Larson,-137.0
Dewey Leffler,481.0
Dewey Luettgen,381.0
Dewey Macejkovic,-17.0
Dewey Marvin,-70.0
Dewey McGlynn JD,536.0
Dewey Mosciski,327.0
Dewey Muller,-101.0
Dewey Nitzsche,-156.0
Dewey O'Connell,516.0
Dewey O'Reilly,127.0
Dewey Osinski,-130.0
Dewey Pacocha,765.0
Dewey Powlowski,818.0
Dewey Powlowski,630.0
Dewey Prosacco,201.0
Dewey Rath,409.0
Dewey Renner,87.0
Dewey Runolfsson Jr.,385.0
Dewey Schulist,477.0
Dewey Swift,-44.0
Dewey Swift DDS,-48.0
Dewey Upton,443.0
Dewey Upton Esq.,882.0
Dewey Wunsch,182.0
Dewey Zemlak,816.0
Dewitt Balistreri,332.0
Dewitt Bednar,694.0
Dewitt Bruen,416.0
Dewitt Cormier,210.0
Dewitt Crooks,453.0
Dewitt Gleason Esq.,617.0
Dewitt Haag,601.0
Dewitt Herzog JD,838.0
Dewitt Hessel,506.0
Dewitt Hessel,798.0
Dewitt Jacobson,44.0
Dewitt Kutch,20.0
Dewitt Little,714.0
Dewitt Lueilwitz,85.0
Dewitt Lueilwitz,515.0
Dewitt MacGyver,715.0
Dewitt Moen VM,79.0
Dewitt Muller,-73.0
Dewitt Murazik,306.0
Dewitt Nienow Esq.,965.0
Dewitt Nienow MD,-140.0
Dewitt O'Connell DO,336.0
Dewitt O'Conner,-71.0
Dewitt Oberbrunner,-9.0
Dewitt Olson,791.0
Dewitt Pacocha DDS,595.0
Dewitt Pollich,576.0
Dewitt Runte,327.0
Dewitt Sanford,565.0
Dewitt Schmitt,106.0
Dewitt Schuppe,554.0
Dewitt Shields,129.0
Dewitt Stamm,374.0
Dewitt Swift,163.0
Dewitt Torphy,915.0
Dewitt Torphy,556.0
Dewitt VonRueden,216.0
Dewitt Walter,715.0
Dewitt Wilkinson VM,247.0
Dewitt Willms,383.0
Dewitt Wiza,-31.0
Dewitt Wolf,222.0
Dewitt Wolf,921.0
Dewitt Yost,530.0
Dexter Barrows,77.0
Dexter Bartoletti,329.0
Dexter Boyer,116.0
Dexter Brown,-2.0
Dexter Bruen,193.0
Dexter Cassin JD,115.0
Dexter Corwin,89.0
Dexter Cruickshank,529.0
Dexter Dooley,-63.0
Dexter Dooley Sr.,691.0
Dexter Fay,756.0
Dexter Hahn V,440.0
Dexter Halvorson PhD,68.0
Dexter Heaney,219.0
Dexter Heller,-37.0
Dexter Hilll,396.0
Dexter Howell,854.0
Dexter Hyatt,727.0
Dexter Jacobson,524.0
Dexter Kerluke,417.0
Dexter Kilback,191.0
Dexter Kuhn,779.0
Dexter Kuhn,712.0
Dexter Lakin CPA,182.0
Dexter Langosh,652.0
Dexter McDermott Esq.,451.0
Dexter Mosciski,98.0
Dexter Muller,372.0
Dexter Nolan,696.0
Dexter Prosacco,218.0
Dexter Ritchie,161.0
Dexter Rosenbaum DDS,119.0
Dexter Satterfield,565.0
Dexter Spencer,7.0
Dexter Stanton I,666.0
Dexter Torphy,859.0
Dexter Waelchi,299.0
Dexter White PhD,779.0
Dia Barton I,550.0
Dia Bernhard,49.0
Dia Nicolas V,284.0
Dia Rohan,30.0
Dia Rutherford,118.0
Dia Streich,303.0
Diamond Boyle,767.0
Diamond Brown DO,649.0
Diamond Hansen,373.0
Diamond Kirlin,270.0
Diamond Lakin,-12.0
Diamond Pacocha,34.0
Diamond Rempel,671.0
Diamond Renner DC,712.0
Diamond Romaguera,769.0
Diamond Wiza,442.0
Diamond Wolf LLD,159.0
Diamond Ziemann,555.0
Dian Hettinger,753.0
Dian Kris,83.0
Dian Leuschke III,791.0
Dian Marks,-30.0
Dian Morissette Jr.,138.0
Dian Rolfson,-5.0
Dian Schmeler,789.0
Dian Swaniawski LLD,853.0
Dian Toy Jr.,693.0
Dian Tremblay,611.0
Diana Becker Esq.,196.0
Diana Boehm,-68.0
Diana Dietrich,648.0
Diana Fadel,58.0
Diana Friesen,307.0
Diana Grant,-49.0
Diana Hermiston JD,832.0
Diana Kessler,201.0
Diana Koch Jr.,546.0
Diana Leffler,-98.0
Diana Legros,434.0
Diana Metz,73.0
Diana Mitchell,618.0
Diana Schneider DO,-88.0
Diana Skiles,381.0
Diana Walker,-163.0
Diana Weissnat,190.0
Diane Bernier,758.0
Diane Dach,931.0
Diane Fay,317.0
Diane Kovacek,223.0
Diane Nitzsche,-16.0
Diane Runte,-112.0
Diane Zemlak,-27.0
Diann Bruen,-5.0
Diann Daniel,910.0
Diann Greenfelder,577.0
Diann Kessler,247.0
Diann Moen,784.0
Diann Spinka,661.0
Diann Weber IV,490.0
Dianna Hahn,807.0
Dianna Hudson,177.0
Dianna Larkin,260.0
Dianna Pouros MD,2.0
Dianna Wiegand,135.0
Dianna Wuckert DVM,437.0
Dianne Buckridge,321.0
Dianne Feest,295.0
Dianne Padberg,471.0
Dianne Parisian,757.0
Dianne Rohan,916.0
Dianne Schimmel III,225.0
Dianne Trantow,113.0
Dianne Ullrich,155.0
Dianne Waters Ret.,821.0
Dianne Will,418.0
Dick Bailey,613.0
Dick Bauch,8.0
Dick Bauch,-93.0
Dick Beatty MD,368.0
Dick Christiansen,574.0
Dick Cruickshank,101.0
Dick Dare,855.0
Dick Doyle,538.0
Dick Ernser DO,783.0
Dick Fadel,183.0
Dick Fisher,26.0
Dick Gutkowski,225.0
Dick Homenick,-29.0
Dick Kerluke,469.0
Dick Kiehn,74.0
Dick Kris,691.0
Dick Kunze,554.0
Dick Lebsack,320.0
Dick Legros CPA,245.0
Dick MacGyver,572.0
Dick Mayer PhD,500.0
Dick McLaughlin,100.0
Dick Muller,286.0
Dick O'Conner,604.0
Dick Rau VM,741.0
Dick Tromp,240.0
Dick Ward,753.0
Dick Weissnat,669.0
Dick Wiza,80.0
Dick Zieme,950.0
Diedra Bahringer,485.0
Diedra Bogisich,629.0
Diedra Bosco,563.0
Diedra Cruickshank,97.0
Diedra Dibbert,126.0
Diedra Durgan,721.0
Diedra Howe,-14.0
Diedra Langworth,781.0
Diedra Legros DC,296.0
Diedra Stracke,22.0
Diedra Turner,357.0
Diedre Baumbach Sr.,331.0
Diedre Daugherty,798.0
Diedre Halvorson,575.0
Diedre Johns I,710.0
Diedre Kshlerin,582.0
Diedre Miller,652.0
Diedre Muller CPA,648.0
Diedre Rutherford DO,798.0
Diedre Schinner V,792.0
Diedre Wyman Ret.,199.0
Diego Altenwerth,837.0
Diego Aufderhar JD,694.0
Diego Bartoletti,542.0
Diego Barton,751.0
Diego Bayer Ret.,183.0
Diego Bernier,714.0
Diego Bogisich,505.0
Diego Braun,823.0
Diego Brekke,621.0
Diego Carter DDS,179.0
Diego Collier,898.0
Diego Cummerata V,10.0
Diego Cummings,690.0
Diego Dare,232.0
Diego Deckow,178.0
Diego Doyle,39.0
Diego Fadel,444.0
Diego Funk,589.0
Diego Gorczany,-6.0
Diego Goyette DC,47.0
Diego Hagenes,597.0
Diego Keebler,618.0
Diego Keebler,149.0
Diego Kiehn,57.0
Diego Kris Jr.,855.0
Diego Kuhic,-76.0
Diego Kunze,692.0
Diego Lemke II,902.0
Diego MacGyver DC,879.0
Diego Mante Sr.,-128.0
Diego McCullough,22.0
Diego Mosciski,-87.0
Diego Mueller,545.0
Diego Murray,241.0
Diego O'Connell Esq.,517.0
Diego O'Conner,472.0
Diego O'Conner,164.0
Diego O'Reilly MD,177.0
Diego Osinski,372.0
Diego Pagac,636.0
Diego Runolfsson,-99.0
Diego Thompson,-30.0
Diego Vandervort,289.0
Diego Waelchi,359.0
Diego Wehner,72.0
Diego Wilkinson,193.0
Diego Witting,-171.0
Diego Wyman,653.0
Diego Ziemann,243.0
Dierdre Block,926.0
Dierdre Johnston,123.0
Dierdre Koepp,452.0
Dierdre Macejkovic,630.0
Dierdre McClure Ret.,133.0
Dierdre McDermott,731.0
Dierdre O'Connell,751.0
Dierdre Ortiz,-15.0
Dierdre Pfeffer,356.0
Dierdre Waelchi JD,682.0
Dierdre Ziemann,883.0
Digna Baumbach,-116.0
Digna Boehm,755.0
Digna Dare,17.0
Digna Hartmann,860.0
Digna Orn,866.0
Digna Predovic,49.0
Digna Romaguera CPA,407.0
Digna Russel CPA,1.0
Dillon Abbott,-88.0
Dillon Abbott MD,383.0
Dillon Altenwerth,325.0
Dillon Beatty,443.0
Dillon Blick,255.0
Dillon Botsford Jr.,639.0
Dillon Boyer,192.0
Dillon Bradtke DDS,89.0
Dillon Cartwright,12.0
Dillon Cormier Sr.,108.0
Dillon Cronin CPA,654.0
Dillon Cummerata,158.0
Dillon Ernser,-20.0
Dillon Feil I,753.0
Dillon Flatley,-99.0
Dillon Hessel,635.0
Dillon Hettinger,537.0
Dillon Jaskolski,848.0
Dillon Klocko,913.0
Dillon Ledner MD,548.0
Dillon Little,514.0
Dillon Lowe,509.0
Dillon Lynch,-140.0
Dillon Macejkovic,372.0
Dillon Mann IV,356.0
Dillon Mante,534.0
Dillon Ortiz,210.0
Dillon Pouros,486.0
Dillon Price,821.0
Dillon Reilly,-94.0
Dillon Sanford,688.0
Dillon Schowalter,548.0
Dillon Stanton,28.0
Dillon VonRueden VM,252.0
Dimple Bernier,198.0
Dimple Deckow,211.0
Dimple Doyle,774.0
Dimple DuBuque,712.0
Dimple Fisher,22.0
Dimple Gislason,164.0
Dimple Marquardt Ret.,23.0
Dimple Runte,103.0
Dimple Schiller,778.0
Dimple Waelchi V,734.0
Dimple Will,441.0
Dimple Wyman,132.0
Dina Bailey,660.0
Dina Barrows,458.0
Dina Cartwright,800.0
Dina Casper,682.0
Dina Legros,-8.0
Dina O'Kon,455.0
Dina Robel V,446.0
Dinah Bednar,511.0
Dinah Bruen Esq.,705.0
Dinah Fahey DDS,724.0
Dinah Hane DC,833.0
Dinah Hansen,715.0
Dinah MacGyver,365.0
Dinah Nikolaus DDS,887.0
Dinah Nitzsche,726.0
Dinah Ondricka,548.0
Dinah Stokes,854.0
Dinah Welch,489.0
Dinah Zboncak,420.0
Dino Anderson,409.0
Dino Bode,827.0
Dino Boehm LLD,741.0
Dino Bosco,400.0
Dino Bruen Esq.,509.0
Dino Carter,110.0
Dino Doyle,428.0
Dino DuBuque,185.0
Dino Effertz,262.0
Dino Feil,972.0
Dino Glover,716.0
Dino Goyette,740.0
Dino Haag,806.0
Dino Howell I,324.0
Dino Jacobi III,21.0
Dino Jacobson,-47.0
Dino Keeling,-50.0
Dino Kertzmann DC,237.0
Dino Kuhlman,858.0
Dino Kutch LLD,90.0
Dino Lang CPA,28.0
Dino Larson,-150.0
Dino Littel,218.0
Dino Medhurst,810.0
Dino O'Keefe,665.0
Dino O'Keefe,130.0
Dino O'Reilly,921.0
Dino Oberbrunner,152.0
Dino Quigley,216.0
Dino Ritchie,505.0
Dino Robel DVM,123.0
Dino Rosenbaum,338.0
Dino Rosenbaum,-12.0
Dino Rosenbaum,-91.0
Dino Ryan I,-68.0
Dino Schroeder,631.0
Dino Stanton Esq.,587.0
Dino Streich,401.0
Dino Veum,440.0
Dino Walker,205.0
Dino Walsh,13.0
Dino Weissnat,509.0
Dino Wiegand,98.0
Dino Wintheiser,588.0
Dino Witting,163.0
Dinorah Beer,761.0
Dinorah Beier,552.0
Dinorah Brakus Sr.,912.0
Dinorah Crona,669.0
Dinorah Cummings,312.0
Dinorah Fisher,196.0
Dinorah Hyatt,390.0
Dinorah Kozey,45.0
Dinorah Maggio,284.0
Dinorah Metz,931.0
Dinorah Mohr,278.0
Dinorah Monahan V,520.0
Dinorah Reinger,24.0
Dinorah Rodriguez,15.0
Dinorah Stark I,149.0
Dinorah Zieme,-78.0
Dion Abshire,167.0
Dion Botsford,-58.0
Dion Bradtke,0.0
Dion Crist II,809.0
Dion Cronin,642.0
Dion Crooks,421.0
Dion D'Amore,382.0
Dion Dare,30.0
Dion Daugherty I,514.0
Dion Deckow,-62.0
Dion Dicki,158.0
Dion Donnelly IV,65.0
Dion Gerlach,-9.0
Dion Grant,475.0
Dion Haley,164.0
Dion Hegmann,706.0
Dion Herzog,512.0
Dion Johns Sr.,376.0
Dion Johnston VM,87.0
Dion Kertzmann,796.0
Dion Klocko,426.0
Dion Koelpin,801.0
Dion Kohler DVM,555.0
Dion Kozey,674.0
Dion Krajcik,632.0
Dion Kunze,747.0
Dion Kutch,-10.0
Dion Langworth,298.0
Dion Lemke,771.0
Dion McDermott,138.0
Dion Mills,257.0
Dion Morissette,818.0
Dion Nicolas,433.0
Dion O'Reilly,662.0
Dion Olson,963.0
Dion Olson,43.0
Dion Pacocha,-35.0
Dion Powlowski,266.0
Dion Prohaska II,539.0
Dion Ritchie,341.0
Dion Rutherford,582.0
Dion Schaefer,812.0
Dion Schulist,476.0
Dion Sipes DC,317.0
Dion Smitham,203.0
Dion Tromp,825.0
Dion Yundt,-34.0
Dione Connelly,661.0
Dione Fisher,600.0
Dione Grady,751.0
Dione Hauck,-113.0
Dione Jast,276.0
Dione Kozey,965.0
Dione Littel,601.0
Dione Roob,-17.0
Dione Schneider,518.0
Dione Schultz,286.0
Dionna Anderson,88.0
Dionna Emard Ret.,42.0
Dionna Funk,794.0
Dionna Hamill,-24.0
Dionna Jast V,-8.0
Dionna MacGyver,509.0
Dionna Mann,615.0
Dionna Medhurst,793.0
Dionna Ortiz IV,941.0
Dionne Glover,272.0
Dionne Goodwin,859.0
Dionne Hand,699.0
Dionne Kassulke,786.0
Dionne Kerluke,54.0
Dionne Klein,485.0
Dionne Medhurst,86.0
Dionne Reinger,283.0
Dionne Volkman,757.0
Dionne Weimann DO,489.0
Dirk Baumbach,76.0
Dirk Bergnaum,809.0
Dirk Bergstrom,825.0
Dirk Bernhard,450.0
Dirk Bernhard,774.0
Dirk Breitenberg,487.0
Dirk Buckridge,84.0
Dirk Denesik,904.0
Dirk Denesik,108.0
Dirk Emmerich,121.0
Dirk Feil,670.0
Dirk Fisher,181.0
Dirk Graham Esq.,365.0
Dirk Haley,40.0
Dirk Huels,731.0
Dirk Hyatt,789.0
Dirk Jakubowski LLD,267.0
Dirk Kohler,228.0
Dirk Kovacek,-24.0
Dirk Kulas,589.0
Dirk Lehner VM,538.0
Dirk Monahan,-168.0
Dirk O'Conner,560.0
Dirk O'Kon,416.0
Dirk Ortiz,248.0
Dirk Rippin,221.0
Dirk Rodriguez,66.0
Dirk Romaguera,237.0
Dirk Smith,334.0
Dirk Upton II,-26.0
Dirk West,178.0
